,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
81,male,group E,high school,free/reduced,none,married,sometimes,yes,2,school_bus,< 5,57,59,49
82,female,group A,some high school,free/reduced,none,widowed,sometimes,yes,4,school_bus,5 - 10,57,65,70
83,male,group B,some high school,standard,none,married,sometimes,yes,3,school_bus,5 - 10,48,43,37
84,female,group C,bachelor's degree,standard,completed,married,never,yes,2,private,< 5,67,81,80
85,male,group B,bachelor's degree,standard,none,married,never,,2,school_bus,> 10,70,69,61
86,female,group E,master's degree,free/reduced,,married,regularly,yes,2,school_bus,5 - 10,73,86,86
87,male,group C,bachelor's degree,free/reduced,none,single,regularly,yes,1,private,5 - 10,36,42,39
88,male,group E,some college,standard,completed,married,regularly,yes,1,private,5 - 10,100,98,93
90,male,group A,some college,free/reduced,none,widowed,sometimes,yes,4,school_bus,5 - 10,66,68,65
91,female,group B,some high school,free/reduced,completed,married,never,yes,3,,5 - 10,26,36,36
92,male,group D,some college,free/reduced,none,married,sometimes,yes,0,private,,52,53,51
93,female,group C,some college,standard,none,married,regularly,yes,1,school_bus,> 10,61,64,59
94,male,group D,some college,standard,completed,single,sometimes,yes,4,school_bus,< 5,66,64,59
95,female,group C,some high school,standard,none,single,regularly,yes,0,,> 10,70,75,69
96,male,group C,master's degree,free/reduced,none,married,sometimes,yes,0,school_bus,> 10,65,67,75
97,male,group D,some college,standard,,married,sometimes,yes,0,private,5 - 10,79,73,74
98,female,group C,some college,free/reduced,none,single,sometimes,no,2,school_bus,5 - 10,53,69,63
99,male,group B,high school,standard,completed,married,never,yes,2,private,5 - 10,62,62,58
100,male,group C,some high school,standard,none,married,sometimes,no,3,school_bus,> 10,71,72,69
101,female,group B,high school,standard,none,divorced,sometimes,yes,4,private,5 - 10,72,67,68
102,female,group C,some college,free/reduced,none,married,regularly,yes,1,private,< 5,55,64,68
103,female,group D,some college,standard,completed,married,sometimes,no,1,school_bus,> 10,70,88,94
104,female,group C,some college,standard,completed,,sometimes,yes,0,school_bus,5 - 10,72,79,76
105,male,group C,bachelor's degree,free/reduced,none,married,sometimes,yes,2,school_bus,5 - 10,78,87,76
106,female,group B,some high school,standard,completed,divorced,never,yes,2,school_bus,> 10,77,91,92
107,female,group C,associate's degree,standard,completed,single,sometimes,yes,6,private,< 5,64,76,75
108,female,group B,some college,free/reduced,none,married,sometimes,no,1,school_bus,< 5,55,65,61
109,female,group C,some high school,free/reduced,none,married,regularly,yes,2,private,> 10,61,79,78
110,female,group D,associate's degree,standard,,single,never,yes,1,school_bus,5 - 10,88,95,97
111,male,group D,some high school,free/reduced,,widowed,regularly,no,2,private,> 10,50,50,48
112,female,group D,,standard,none,married,regularly,yes,4,school_bus,< 5,79,77,81
113,male,group D,some high school,free/reduced,none,married,never,yes,1,private,5 - 10,49,47,46
114,female,group D,bachelor's degree,standard,none,single,sometimes,,2,,5 - 10,46,54,60
115,female,group E,some high school,standard,completed,single,sometimes,,5,private,5 - 10,57,65,70
116,female,group B,,standard,none,married,sometimes,yes,1,private,5 - 10,58,64,63
117,female,group A,high school,free/reduced,none,single,sometimes,,1,school_bus,,44,50,48
118,male,,associate's degree,standard,none,single,regularly,yes,2,private,5 - 10,80,74,77
119,male,group C,some college,standard,none,married,regularly,yes,3,private,,70,63,55
120,female,group B,associate's degree,standard,none,married,sometimes,,2,school_bus,< 5,65,83,77
121,female,group C,some high school,standard,completed,,sometimes,yes,0,school_bus,5 - 10,65,73,75
122,male,group D,associate's degree,standard,none,married,regularly,no,1,school_bus,5 - 10,74,62,71
124,female,group C,associate's degree,standard,none,widowed,regularly,yes,0,private,5 - 10,81,82,84
125,female,group B,associate's degree,standard,none,widowed,sometimes,yes,0,private,5 - 10,55,61,59
126,female,group D,,free/reduced,none,married,sometimes,yes,1,school_bus,5 - 10,52,66,60
127,male,,some college,free/reduced,none,single,sometimes,yes,3,private,5 - 10,54,59,46
128,male,group E,associate's degree,free/reduced,,single,never,yes,0,,5 - 10,86,91,89
129,female,group D,associate's degree,standard,none,single,never,yes,0,private,5 - 10,71,75,84
131,male,group C,bachelor's degree,free/reduced,none,divorced,sometimes,yes,2,,5 - 10,61,51,54
132,female,group E,high school,standard,none,married,sometimes,no,3,private,< 5,56,58,58
133,male,group C,associate's degree,free/reduced,completed,divorced,sometimes,no,3,private,< 5,76,80,73
134,female,,bachelor's degree,standard,completed,married,sometimes,yes,2,private,5 - 10,52,69,71
135,male,group D,some high school,free/reduced,none,single,sometimes,no,4,school_bus,5 - 10,47,53,52
136,male,group C,master's degree,standard,none,married,sometimes,yes,1,private,5 - 10,84,90,87
137,female,group E,associate's degree,standard,none,single,sometimes,yes,0,,5 - 10,91,95,100
138,male,group B,associate's degree,standard,none,married,regularly,,1,school_bus,< 5,83,81,77
139,male,group E,some college,standard,completed,married,regularly,yes,1,school_bus,< 5,99,87,92
140,male,group E,some college,free/reduced,none,divorced,regularly,no,3,school_bus,5 - 10,65,59,59
141,female,group E,,standard,completed,single,sometimes,,1,,5 - 10,55,59,65
142,female,group C,some high school,standard,none,married,sometimes,yes,1,private,5 - 10,69,80,75
143,male,group E,associate's degree,free/reduced,none,married,regularly,,1,school_bus,5 - 10,73,62,56
144,male,group B,associate's degree,free/reduced,,single,sometimes,no,2,school_bus,< 5,36,51,42
145,female,group D,associate's degree,free/reduced,none,widowed,sometimes,yes,2,school_bus,< 5,63,78,70
146,female,group D,high school,standard,none,married,regularly,yes,2,school_bus,5 - 10,66,75,72
148,female,group B,,standard,none,married,regularly,yes,0,,< 5,69,77,71
149,male,group B,some high school,free/reduced,completed,single,sometimes,no,3,private,5 - 10,58,61,62
150,male,group C,high school,standard,,single,sometimes,no,2,private,5 - 10,58,51,48
151,female,group B,some high school,standard,completed,married,regularly,yes,0,private,< 5,61,73,71
152,female,group C,,free/reduced,none,married,sometimes,yes,0,private,> 10,77,87,79
153,female,group B,associate's degree,standard,none,divorced,sometimes,no,4,school_bus,5 - 10,52,59,63
154,male,group E,bachelor's degree,standard,none,widowed,never,yes,2,private,5 - 10,90,90,82
155,female,group C,some college,standard,none,single,sometimes,yes,1,,< 5,66,76,79
156,female,group E,associate's degree,free/reduced,completed,divorced,sometimes,no,2,,5 - 10,71,87,87
157,female,group A,bachelor's degree,standard,completed,single,never,yes,0,private,5 - 10,60,67,61
158,female,group D,high school,standard,none,widowed,regularly,yes,,private,< 5,45,46,49
159,male,group C,some college,standard,completed,married,sometimes,yes,1,,< 5,72,71,73
160,male,group B,,standard,completed,,sometimes,yes,2,school_bus,< 5,64,65,60
161,male,group E,some college,standard,none,married,sometimes,no,3,school_bus,< 5,72,65,62
162,male,group C,,free/reduced,none,married,regularly,yes,2,private,< 5,56,67,51
164,male,group C,some high school,free/reduced,none,married,never,no,4,school_bus,5 - 10,67,76,64
166,female,group B,associate's degree,standard,completed,married,,yes,6,school_bus,> 10,64,92,92
167,male,group D,some college,standard,none,divorced,regularly,yes,4,,5 - 10,74,66,71
168,male,group B,some high school,free/reduced,completed,married,sometimes,yes,4,school_bus,< 5,54,63,53
169,female,group A,high school,standard,,,sometimes,yes,0,school_bus,5 - 10,54,58,53
170,female,group E,some college,standard,none,married,sometimes,,0,school_bus,> 10,52,66,63
171,male,group C,some college,standard,completed,,never,yes,1,,5 - 10,80,76,77
172,female,group C,some college,standard,,married,sometimes,yes,1,private,5 - 10,57,77,72
173,female,group B,some high school,standard,none,married,never,no,1,private,< 5,47,52,50
174,female,group D,high school,standard,none,,never,yes,2,school_bus,5 - 10,58,73,68
175,male,group C,associate's degree,standard,none,married,regularly,yes,1,school_bus,5 - 10,53,52,49
176,male,group E,some college,standard,none,married,sometimes,no,4,school_bus,< 5,75,69,69
177,female,group C,master's degree,free/reduced,none,divorced,never,yes,4,private,5 - 10,59,72,72
178,female,group C,some college,free/reduced,none,married,regularly,,4,private,5 - 10,39,58,55
179,male,group E,master's degree,standard,completed,single,sometimes,no,2,school_bus,< 5,80,91,88
180,female,group A,associate's degree,standard,none,single,regularly,yes,4,,5 - 10,80,75,77
181,male,group A,high school,standard,none,divorced,sometimes,yes,1,private,< 5,67,63,53
182,male,group C,high school,standard,none,married,regularly,yes,3,school_bus,< 5,63,61,60
183,male,group B,bachelor's degree,standard,none,married,never,yes,4,school_bus,< 5,78,78,69
184,male,group D,some college,standard,completed,divorced,regularly,no,3,school_bus,5 - 10,73,76,76
185,female,group D,some college,free/reduced,none,married,regularly,yes,0,school_bus,< 5,51,70,71
186,male,group D,bachelor's degree,standard,completed,single,sometimes,yes,2,private,> 10,76,68,68
187,male,group D,associate's degree,standard,,divorced,regularly,yes,2,school_bus,< 5,68,70,79
188,male,group A,some college,standard,none,married,sometimes,yes,1,private,5 - 10,93,87,74
189,female,group B,associate's degree,free/reduced,none,divorced,regularly,no,5,school_bus,5 - 10,62,69,69
190,male,group A,associate's degree,standard,none,married,sometimes,yes,4,private,5 - 10,68,63,60
191,female,group B,master's degree,free/reduced,none,married,sometimes,yes,2,school_bus,> 10,55,68,74
192,female,group C,high school,standard,completed,divorced,regularly,yes,1,school_bus,5 - 10,57,75,75
193,female,group C,some college,standard,none,divorced,regularly,,4,private,5 - 10,56,57,61
194,female,group A,some high school,free/reduced,none,married,regularly,yes,0,private,> 10,46,53,51
195,male,group C,high school,free/reduced,none,married,regularly,no,,private,5 - 10,53,50,38
196,male,group B,some college,standard,,single,sometimes,yes,3,school_bus,< 5,80,78,74
197,female,group D,some high school,free/reduced,,married,never,no,2,school_bus,> 10,38,54,49
198,male,group C,bachelor's degree,standard,completed,single,sometimes,no,2,school_bus,,77,67,68
199,male,group D,bachelor's degree,free/reduced,none,single,sometimes,no,1,school_bus,< 5,82,74,83
200,female,group A,bachelor's degree,free/reduced,none,divorced,sometimes,yes,0,private,5 - 10,43,58,46
202,male,group B,,standard,none,married,sometimes,yes,4,school_bus,5 - 10,61,56,55
203,female,group C,associate's degree,standard,none,divorced,sometimes,no,1,school_bus,< 5,81,94,95
204,male,group D,some college,standard,,single,sometimes,yes,5,school_bus,5 - 10,62,63,67
205,female,group B,associate's degree,free/reduced,completed,single,never,yes,1,private,> 10,53,69,70
206,male,group C,some college,standard,none,married,sometimes,yes,4,school_bus,5 - 10,76,82,72
207,female,group C,master's degree,free/reduced,completed,married,sometimes,no,1,school_bus,< 5,61,83,82
208,female,group D,associate's degree,free/reduced,none,married,sometimes,yes,3,school_bus,,48,66,63
209,male,group A,some college,free/reduced,completed,single,regularly,no,1,school_bus,< 5,68,62,71
210,male,group C,associate's degree,standard,none,single,regularly,yes,5,,> 10,93,92,86
211,male,group B,bachelor's degree,free/reduced,none,divorced,regularly,,1,school_bus,5 - 10,55,55,46
212,female,group C,high school,free/reduced,completed,married,sometimes,no,3,school_bus,< 5,41,63,56
213,male,group B,master's degree,standard,none,divorced,sometimes,yes,1,school_bus,< 5,76,63,68
214,female,group B,some college,standard,completed,divorced,sometimes,yes,2,private,> 10,67,80,87
215,male,group B,some high school,free/reduced,none,married,sometimes,yes,2,school_bus,5 - 10,47,46,39
216,female,group C,some college,standard,none,married,never,yes,0,private,,63,67,73
217,male,group B,some high school,free/reduced,none,married,sometimes,yes,3,school_bus,> 10,52,51,51
218,female,group C,high school,standard,completed,single,sometimes,yes,1,private,> 10,82,85,90
219,male,group C,high school,standard,none,widowed,sometimes,yes,2,school_bus,5 - 10,87,82,79
220,female,group B,some high school,free/reduced,none,single,sometimes,yes,1,school_bus,5 - 10,40,60,54
221,male,group E,associate's degree,standard,none,divorced,regularly,no,3,private,5 - 10,64,45,44
222,female,group E,some college,standard,completed,single,regularly,no,3,private,5 - 10,87,94,91
223,female,group C,associate's degree,standard,none,married,,yes,1,private,5 - 10,64,72,75
224,female,group C,bachelor's degree,standard,none,single,sometimes,yes,3,private,5 - 10,57,68,67
226,male,group C,some high school,standard,none,married,never,yes,4,school_bus,< 5,69,67,66
227,male,group D,high school,standard,none,divorced,sometimes,no,3,school_bus,5 - 10,76,57,60
229,female,group E,some high school,standard,completed,single,regularly,yes,2,school_bus,5 - 10,74,82,76
230,male,group C,some high school,standard,completed,,regularly,yes,1,school_bus,< 5,62,62,63
231,female,group D,associate's degree,free/reduced,none,married,sometimes,yes,1,,5 - 10,53,73,61
232,female,group C,some college,standard,completed,married,regularly,yes,2,school_bus,< 5,44,64,64
233,female,group B,some college,standard,none,single,never,yes,0,school_bus,> 10,56,70,63
234,female,group B,high school,free/reduced,completed,married,sometimes,yes,0,school_bus,5 - 10,32,56,51
235,male,group E,high school,free/reduced,completed,married,sometimes,no,1,,5 - 10,67,61,63
236,male,,high school,standard,none,married,never,yes,3,school_bus,< 5,83,76,67
237,female,group B,,standard,none,married,regularly,yes,2,private,< 5,59,62,59
238,female,group C,some high school,standard,none,married,sometimes,yes,4,school_bus,5 - 10,63,62,60
239,female,group D,associate's degree,free/reduced,none,married,never,no,,private,5 - 10,42,64,63
240,male,group C,some high school,free/reduced,none,,regularly,,0,school_bus,> 10,41,43,38
241,male,group D,,standard,none,married,sometimes,yes,3,school_bus,5 - 10,94,97,92
242,male,group D,some high school,free/reduced,completed,married,sometimes,yes,0,school_bus,5 - 10,56,60,62
243,female,,master's degree,standard,none,single,never,yes,2,school_bus,5 - 10,70,78,74
244,female,group D,some college,free/reduced,none,married,regularly,no,2,private,< 5,41,55,57
245,female,group D,high school,free/reduced,none,single,sometimes,yes,2,private,5 - 10,72,79,86
246,female,group E,master's degree,standard,,married,sometimes,yes,,private,< 5,89,83,93
247,male,group E,high school,free/reduced,none,married,sometimes,yes,1,school_bus,5 - 10,82,79,74
248,female,group C,associate's degree,free/reduced,none,,sometimes,yes,0,school_bus,> 10,66,79,79
249,female,group D,bachelor's degree,standard,none,married,sometimes,no,1,,5 - 10,86,93,90
250,male,group C,high school,free/reduced,,married,sometimes,yes,4,private,< 5,67,80,67
251,female,group B,high school,free/reduced,none,single,sometimes,no,1,school_bus,< 5,65,66,68
252,female,group C,some college,free/reduced,completed,married,sometimes,no,1,private,> 10,81,92,99
253,female,,associate's degree,free/reduced,none,married,sometimes,yes,0,private,5 - 10,45,52,50
255,male,group E,some high school,free/reduced,none,married,sometimes,yes,3,private,5 - 10,76,62,61
257,female,group E,,standard,none,single,sometimes,yes,4,school_bus,5 - 10,75,85,80
258,male,group D,associate's degree,free/reduced,completed,married,regularly,yes,2,private,< 5,61,70,69
259,female,group A,high school,standard,none,single,regularly,no,1,school_bus,> 10,70,78,78
260,female,group C,bachelor's degree,standard,none,divorced,regularly,no,2,school_bus,5 - 10,74,80,84
261,male,group C,associate's degree,standard,completed,divorced,sometimes,yes,0,,< 5,73,73,72
262,male,group C,associate's degree,free/reduced,none,married,sometimes,yes,1,school_bus,< 5,62,67,60
263,male,,some high school,free/reduced,completed,married,regularly,no,1,school_bus,> 10,53,58,59
265,female,group C,some college,standard,,single,,yes,1,,> 10,66,68,65
266,female,,bachelor's degree,standard,none,single,sometimes,yes,3,school_bus,< 5,53,59,56
267,female,group B,associate's degree,free/reduced,none,married,sometimes,yes,2,school_bus,5 - 10,26,48,37
268,female,group A,bachelor's degree,standard,none,married,,no,,private,5 - 10,82,75,87
269,male,group E,bachelor's degree,standard,none,married,sometimes,yes,1,school_bus,5 - 10,67,56,50
271,male,group A,bachelor's degree,standard,none,married,sometimes,yes,1,school_bus,5 - 10,81,76,77
272,male,group E,some college,free/reduced,,married,regularly,no,2,private,> 10,89,81,77
273,male,,some college,free/reduced,none,single,sometimes,yes,2,private,< 5,71,73,68
274,male,group C,bachelor's degree,standard,none,married,regularly,yes,0,school_bus,5 - 10,83,74,74
275,female,group B,associate's degree,free/reduced,completed,married,sometimes,yes,0,private,5 - 10,29,49,50
276,female,group B,bachelor's degree,standard,none,married,regularly,yes,1,private,5 - 10,74,85,80
277,female,group B,some college,standard,none,married,regularly,no,3,school_bus,> 10,73,77,75
278,male,group D,bachelor's degree,standard,completed,divorced,sometimes,no,1,school_bus,< 5,95,93,91
279,female,group B,some college,free/reduced,none,single,sometimes,yes,1,private,< 5,36,46,43
280,male,group C,high school,free/reduced,completed,single,regularly,yes,1,school_bus,> 10,57,53,52
281,male,group C,associate's degree,standard,none,divorced,sometimes,no,3,private,5 - 10,85,76,75
282,female,group A,some college,standard,none,single,regularly,yes,3,school_bus,< 5,77,79,82
283,male,group A,some college,standard,completed,married,regularly,no,4,school_bus,5 - 10,86,72,77
284,female,group E,some college,standard,none,divorced,regularly,yes,4,private,5 - 10,86,83,89
285,male,group C,master's degree,free/reduced,none,married,regularly,no,2,private,> 10,65,63,66
286,female,group C,some high school,free/reduced,none,married,sometimes,no,3,school_bus,> 10,53,66,58
287,male,group D,,standard,completed,married,regularly,no,4,school_bus,< 5,78,76,72
288,female,group B,,standard,none,married,never,yes,3,school_bus,5 - 10,55,71,73
289,male,group B,some high school,standard,completed,single,never,no,2,private,< 5,54,56,57
290,female,group A,some high school,standard,none,married,,no,1,school_bus,5 - 10,52,55,57
291,male,group D,master's degree,standard,,married,regularly,,4,school_bus,> 10,82,86,84
292,female,group C,bachelor's degree,standard,completed,divorced,regularly,yes,0,private,5 - 10,52,73,68
293,male,group D,bachelor's degree,free/reduced,completed,single,regularly,yes,1,,,78,69,67
294,female,group D,,free/reduced,none,married,regularly,no,5,private,5 - 10,57,72,66
295,female,group A,some high school,free/reduced,completed,single,sometimes,yes,0,school_bus,> 10,59,81,79
296,female,group D,associate's degree,free/reduced,none,single,never,no,2,private,5 - 10,62,74,73
297,female,group E,some college,standard,none,widowed,,yes,,school_bus,5 - 10,80,79,79
298,male,group C,associate's degree,free/reduced,none,single,regularly,no,2,,5 - 10,51,48,46
299,male,group B,some college,free/reduced,completed,single,sometimes,yes,1,school_bus,5 - 10,45,44,51
300,male,group B,some high school,standard,completed,married,sometimes,yes,3,private,5 - 10,74,67,69
301,male,,master's degree,free/reduced,none,single,sometimes,yes,2,private,> 10,72,69,70
302,female,group C,master's degree,standard,none,married,regularly,yes,3,,> 10,60,72,66
304,female,group C,bachelor's degree,standard,none,married,sometimes,no,1,private,< 5,70,77,76
305,male,group C,bachelor's degree,free/reduced,completed,single,regularly,yes,0,private,5 - 10,63,61,62
306,male,group B,some high school,free/reduced,none,single,regularly,no,1,,5 - 10,42,48,38
307,female,group C,some college,standard,none,single,regularly,no,3,private,> 10,38,48,50
308,female,,some college,standard,none,single,,yes,3,school_bus,< 5,61,66,68
309,female,group E,some high school,free/reduced,none,married,sometimes,no,2,school_bus,5 - 10,48,61,49
310,male,group B,high school,standard,none,married,sometimes,yes,0,school_bus,5 - 10,71,65,63
311,male,group C,some college,free/reduced,completed,,regularly,no,2,,5 - 10,58,63,60
312,male,group E,some high school,free/reduced,none,single,never,yes,2,,,64,52,52
313,female,group C,,standard,none,single,regularly,yes,3,private,< 5,44,57,53
314,male,group C,some high school,standard,none,married,sometimes,no,3,private,> 10,57,47,44
315,male,,master's degree,standard,none,single,sometimes,yes,4,,< 5,81,60,54
316,female,group D,associate's degree,standard,none,married,regularly,yes,0,school_bus,< 5,74,80,82
317,female,,some high school,free/reduced,none,married,regularly,no,1,,5 - 10,49,56,57
318,female,group E,bachelor's degree,standard,none,married,sometimes,no,4,private,5 - 10,91,91,92
319,male,group E,associate's degree,standard,completed,divorced,sometimes,yes,1,school_bus,5 - 10,76,65,66
320,female,group C,associate's degree,free/reduced,completed,married,sometimes,yes,1,school_bus,< 5,46,67,62
321,male,group C,some college,standard,completed,married,sometimes,yes,3,private,5 - 10,45,46,42
322,female,group B,some college,standard,,married,regularly,yes,5,school_bus,< 5,26,40,38
323,male,group C,high school,standard,none,married,regularly,no,2,private,5 - 10,63,55,54
324,female,group C,bachelor's degree,free/reduced,none,married,regularly,no,3,school_bus,5 - 10,49,65,61
325,male,,some college,standard,none,single,never,yes,2,school_bus,< 5,63,58,58
326,male,group B,some college,standard,completed,married,sometimes,yes,0,school_bus,< 5,64,63,54
328,female,group D,some high school,standard,completed,married,regularly,,3,,> 10,55,50,56
329,male,group B,some college,free/reduced,completed,married,never,no,1,private,< 5,51,61,59
330,male,group C,associate's degree,standard,none,married,sometimes,yes,1,private,5 - 10,82,70,70
331,female,group B,master's degree,standard,completed,divorced,sometimes,yes,0,school_bus,< 5,65,82,83
332,female,group C,associate's degree,free/reduced,completed,divorced,sometimes,yes,2,private,5 - 10,64,96,91
333,male,,master's degree,standard,completed,married,never,yes,1,school_bus,5 - 10,86,83,86
334,female,group D,bachelor's degree,standard,none,married,sometimes,,3,school_bus,< 5,74,80,79
335,male,group D,master's degree,standard,completed,divorced,regularly,,5,school_bus,5 - 10,71,66,74
336,male,group C,bachelor's degree,standard,completed,single,sometimes,yes,3,school_bus,5 - 10,75,75,72
337,male,group E,bachelor's degree,standard,none,married,regularly,yes,3,school_bus,< 5,99,83,81
338,male,group B,associate's degree,standard,completed,married,,no,5,school_bus,> 10,44,49,46
339,male,group C,bachelor's degree,standard,none,single,sometimes,yes,1,private,5 - 10,69,69,63
340,female,group A,master's degree,standard,none,married,never,yes,2,private,< 5,76,92,93
341,male,group C,bachelor's degree,standard,none,married,regularly,no,1,school_bus,5 - 10,77,71,71
342,female,group B,bachelor's degree,free/reduced,none,divorced,sometimes,yes,3,school_bus,5 - 10,59,72,75
343,female,group B,associate's degree,standard,none,married,sometimes,,3,school_bus,5 - 10,45,53,49
344,male,group D,high school,standard,,married,,no,,school_bus,5 - 10,63,52,48
345,male,group C,some college,free/reduced,none,single,sometimes,yes,1,private,5 - 10,63,65,55
346,male,group C,some college,free/reduced,none,married,sometimes,no,6,,5 - 10,61,48,47
347,female,,some high school,free/reduced,,married,sometimes,yes,1,private,< 5,70,81,80
348,male,group C,master's degree,free/reduced,none,divorced,regularly,no,2,private,< 5,75,79,72
349,male,group E,,standard,completed,,sometimes,yes,2,,5 - 10,90,83,84
350,male,group D,bachelor's degree,free/reduced,completed,divorced,sometimes,yes,5,private,5 - 10,72,74,80
351,female,group A,some college,free/reduced,none,married,sometimes,no,,school_bus,> 10,44,61,53
352,male,group B,master's degree,standard,none,married,sometimes,yes,0,private,> 10,87,77,72
353,male,group B,some college,free/reduced,completed,divorced,sometimes,yes,2,school_bus,5 - 10,55,52,54
354,female,group D,high school,free/reduced,none,married,regularly,yes,2,school_bus,< 5,70,81,85
355,female,group B,master's degree,free/reduced,completed,divorced,sometimes,yes,2,school_bus,> 10,66,91,87
356,female,group E,high school,free/reduced,completed,divorced,regularly,yes,1,private,> 10,72,88,84
357,male,group A,some college,standard,completed,divorced,never,yes,0,school_bus,< 5,57,61,58
358,female,group B,some college,free/reduced,none,divorced,never,yes,3,school_bus,5 - 10,64,67,58
359,male,group D,some college,standard,none,divorced,regularly,yes,1,school_bus,5 - 10,84,75,79
360,male,group B,some college,standard,none,married,sometimes,yes,0,private,> 10,93,84,78
361,female,group E,associate's degree,free/reduced,completed,divorced,regularly,yes,5,,5 - 10,57,71,73
362,female,group C,some college,standard,completed,married,regularly,no,1,school_bus,< 5,86,86,92
363,female,group B,some high school,free/reduced,none,divorced,regularly,no,1,school_bus,5 - 10,57,73,68
364,male,group D,master's degree,free/reduced,completed,single,sometimes,yes,1,school_bus,< 5,66,69,70
365,male,group D,high school,free/reduced,none,divorced,sometimes,yes,0,,5 - 10,52,40,46
366,female,group E,associate's degree,standard,none,married,never,no,3,school_bus,< 5,79,80,81
367,male,group E,high school,standard,none,married,sometimes,yes,2,school_bus,5 - 10,83,80,74
368,female,group B,high school,free/reduced,none,divorced,sometimes,yes,1,private,5 - 10,23,31,29
369,male,group C,master's degree,free/reduced,none,married,regularly,no,3,school_bus,5 - 10,65,69,64
370,female,group D,some college,free/reduced,none,divorced,sometimes,yes,2,private,> 10,63,73,73
371,female,group E,some high school,standard,completed,married,sometimes,no,2,private,> 10,80,95,93
372,female,,some high school,free/reduced,none,married,sometimes,yes,0,private,< 5,70,74,71
373,female,group D,some high school,free/reduced,none,single,regularly,yes,0,,< 5,78,79,79
374,male,group C,bachelor's degree,free/reduced,completed,divorced,regularly,yes,5,school_bus,> 10,95,92,90
375,male,group B,master's degree,free/reduced,none,married,regularly,no,2,private,< 5,51,56,53
376,female,group E,high school,standard,completed,divorced,sometimes,no,,school_bus,5 - 10,100,100,100
377,female,group C,some college,standard,none,single,never,yes,2,school_bus,< 5,53,54,59
378,female,group E,bachelor's degree,standard,none,married,regularly,yes,4,private,5 - 10,79,81,85
379,male,group E,high school,standard,none,married,sometimes,no,3,school_bus,5 - 10,53,57,48
380,male,group D,master's degree,standard,none,single,sometimes,yes,1,school_bus,> 10,75,71,78
381,male,group B,some high school,standard,none,single,never,yes,1,school_bus,< 5,67,73,67
382,male,group C,some college,standard,completed,married,sometimes,yes,1,,< 5,81,77,82
383,female,group B,some college,standard,none,single,regularly,yes,,school_bus,5 - 10,96,89,93
384,male,group D,some college,standard,none,,regularly,yes,3,private,< 5,96,84,91
385,male,group E,some college,standard,none,married,regularly,no,2,,5 - 10,66,53,50
386,male,group C,some high school,standard,completed,divorced,never,no,3,private,> 10,85,74,78
387,male,group C,some high school,free/reduced,none,married,sometimes,,2,,5 - 10,47,46,48
388,male,group D,high school,standard,completed,married,regularly,yes,4,private,5 - 10,80,72,73
389,male,group D,some college,standard,completed,married,never,,1,school_bus,5 - 10,62,58,62
390,male,group D,high school,free/reduced,none,divorced,sometimes,yes,4,,5 - 10,83,83,75
391,male,group C,,free/reduced,none,divorced,regularly,yes,2,school_bus,< 5,57,60,52
392,male,group E,some college,free/reduced,none,married,sometimes,no,3,school_bus,5 - 10,90,80,81
393,male,group B,bachelor's degree,standard,,married,never,yes,0,school_bus,5 - 10,71,70,74
394,male,group D,associate's degree,standard,completed,married,regularly,yes,5,school_bus,< 5,87,77,80
395,male,group C,some college,standard,none,single,sometimes,no,7,school_bus,5 - 10,79,74,71
396,female,group D,,standard,none,,sometimes,yes,,private,5 - 10,86,88,93
397,male,group D,master's degree,free/reduced,none,divorced,regularly,yes,1,private,< 5,52,65,69
398,male,group C,associate's degree,standard,none,married,sometimes,yes,3,private,> 10,75,68,73
399,female,group D,associate's degree,standard,none,married,sometimes,yes,0,private,< 5,65,80,79
400,male,group D,,standard,completed,married,sometimes,yes,2,school_bus,5 - 10,73,68,72
401,female,group C,,standard,none,divorced,regularly,yes,2,private,5 - 10,41,32,33
402,male,group D,associate's degree,free/reduced,none,widowed,sometimes,no,2,private,,70,59,57
403,male,group C,some high school,standard,none,married,sometimes,no,1,school_bus,< 5,57,50,49
404,female,group D,bachelor's degree,free/reduced,completed,married,regularly,yes,1,private,5 - 10,64,78,78
405,female,group C,some high school,standard,none,married,sometimes,no,4,school_bus,> 10,51,63,65
406,female,group E,associate's degree,free/reduced,none,married,regularly,yes,1,school_bus,> 10,63,81,66
407,female,group D,some high school,standard,none,married,regularly,no,3,school_bus,> 10,72,84,81
408,male,group C,associate's degree,standard,none,married,never,no,3,school_bus,< 5,62,58,51
409,male,group E,associate's degree,free/reduced,none,married,regularly,yes,2,,> 10,55,58,58
410,male,group C,some college,standard,none,widowed,sometimes,yes,1,school_bus,5 - 10,53,45,44
411,female,group C,master's degree,standard,none,widowed,sometimes,no,3,school_bus,5 - 10,74,77,83
412,female,group D,master's degree,free/reduced,completed,married,regularly,yes,2,private,5 - 10,76,85,89
413,male,group D,some college,free/reduced,none,single,regularly,yes,6,private,5 - 10,52,48,49
414,male,group D,some high school,free/reduced,completed,married,sometimes,yes,0,school_bus,5 - 10,42,26,32
415,male,group B,high school,standard,none,married,sometimes,no,2,private,< 5,38,23,27
416,male,group D,master's degree,standard,completed,divorced,sometimes,yes,3,private,> 10,100,99,100
417,male,,associate's degree,standard,none,single,regularly,yes,0,,5 - 10,58,55,47
